,latitude,longitude,lrimoshipno
75,11.069299699999998,-74.23519897,9747869
76,-34.45459747,150.8962555,9747869
78,29.73040009,122.2070007,9747871
79,-32.88769913,151.7669983,9747895
80,-21.18513298,149.3852386,9747895
82,-26.18519974,-48.33560181,9748045
83,22.97610092,113.54499820000001,9748045
84,32.1859436,119.02084350000001,9748069
85,-33.96189879999999,25.63380051,9748071
86,-32.25559616,-51.90982056,9748071
87,33.04805756,129.6337128,9748746
88,-7.086619853999999,112.65361019999999,9748758
89,32.27167511,119.44012450000001,9748758
90,34.70043564,135.2591858,9748760
91,-33.46756363,-59.99762344,9749257
92,5.451363087000001,95.23920441,9749817
93,32.49039841,129.2680054,9749829
94,41.79685211,140.6768341,9749958
7,-21.26659966,149.3139954,9406489
9,51.88370132,4.269999981000001,9428152
11,53.64079285,-0.199681699,9437517
12,39.26699829,-76.57209778,9440849
15,38.80764008,118.2067261,9445289
16,37.58340073,121.3889999,9446465
18,22.07745743,113.9140854,9447433
22,40.7233696,29.47974968,9448059
23,31.83740044,120.8410034,9448059
24,20.16650009,86.7390976,9448059
28,33.13840103,-8.7125597,9448217
31,46.2217865,30.74031258,9448217
33,24.23193169,120.4878159,9448554
35,39.80713272,119.86569979999999,9449027
36,14.66123295,-17.33543205,9449259
41,29.28440094,-94.64440155,9449871
11,20.27726746,86.67385101,9455375
20,46.34410095,30.63890076,9467550
23,-7.201550007000001,112.72194669999999,9471276
26,-25.96092033,32.50364304,9476666
29,23.08368111,113.4785004,9482691
33,-3.70085001,114.4300003,9487225
35,29.93670464,121.8834457,9488009
44,21.73220062,108.5790024,9496276
45,3.0297000410000003,101.3571167,9497165
46,14.690600400000001,-17.43029976,9497440
48,27.07780075,49.67808151,9497440
50,25.21178627,56.57786179,9497476
52,45.56959534,-73.50837708,9498224
55,32.16730118,118.8539963,9498432
56,-32.34529877,-51.82799911,9498432
59,35.88830185,140.6838226,9498626
60,22.21659279,114.1009064,9498810
63,23.00426865,70.22375488,9499448
64,21.02070045,72.64859772,9499450
1,45.59379959,-83.51540375,5025691
2,41.70050049,-83.44930267,5025691
3,46.74919891,-92.13159943,5025691
4,46.49599838,-84.32550049,5025691
5,42.28706741,-83.10350037,5025691
6,45.92914963,-84.01204681,5025691
7,46.63219833,-84.8321991,5025691
9,43.19440079,-82.36070251,5025691
10,45.85419846,-85.01709747,5025691
11,46.4552002,-84.54879761,5025691
13,41.46009827,-82.73120117,5097450
14,42.741901399999996,-82.48280334,5097450
15,45.8887825,-85.52451324,5102865
16,48.35449982,-89.23120117,5102865
17,45.98450089,-83.87969971,5102865
19,47.67499924,-87.00229645,5103974
20,43.64294434,-79.35368347,5104382
22,44.16360092,-76.80139923,5104382
23,43.73789978,-77.9335022,5104382
25,45.34479904,-73.87650299,5105831
