imo,dwt
9186924,77828
9186962,45547
9187289,172036
9187368,48913
9187370,48913
9187382,48913
9187447,72495
9187708,73726
9187722,73786
9187734,73660
9188609,48893
9188611,48893
9188623,49361
9188908,41675
9189081,72844
9189093,72893
9189108,72893
9189213,75615
9189768,74356
9189770,72493
9189782,72561
9189861,75574
9189926,50655
9189938,50655
9189940,50655
9190377,74732
9190640,72867
9191527,42584
9192416,80416
9193185,72642
9193197,72642
9193202,72642
9193214,72622
9193692,45333
9193707,45251
9193850,74002
9194385,46640
9194397,46677
9195298,50655
9195303,170565
9195327,74443
9196802,91625
9196826,91439
9197002,47027
9197222,45279
9197662,52433
9198240,172498
9198381,45572
9198393,45578
9199206,46541
9200342,47263
9200354,47282
9200366,73941
9200378,73941
9200380,73941
9200392,73941
9200421,47027
9200433,48265
9200457,48225
9200550,50249
9200562,75706
9200653,88005
9200665,88018
9201061,48893
9201695,170780
9202106,46671
9202118,46681
9202584,77672
9202807,73625
9204685,75681
9205811,72270
9205823,72270
9205835,72493
9205847,72493
9205914,48220
9205940,50913
9206009,75458
9206205,73747
9206437,172499
9207326,74461
9207417,73807
9207429,45279
9207431,45248
9207443,73796
9207730,74020
9207742,73992
9207766,75971
9207778,75966
9207780,75957
9207792,45659
9207807,45630
9208370,48369
9208502,72917
9208514,72917
9208526,72917
9209116,75608
9209128,75595
9209312,74346
9209491,74005
9209520,74078
9209532,74117
9209910,171199
9209922,152398
9211121,52068
9211133,52067
9211145,52073
9211585,74716
9211597,74716
9211602,74228
9212058,170415
9212125,75106
9212242,74757
9212694,75259
9212709,75323
9213143,52061
9213155,52068
9213167,154324
9213363,75172
9213375,169225
9213387,72642
9213399,75249
9213569,73852
9213791,73288
9213820,73454
9214056,74366
9214068,74333
9214082,50777
9214094,50786
9214109,50777
9214111,50777
9214123,74204
9214135,72562
9214147,72562
9214161,74242
9214329,74677
9214331,74665
9214848,46786
9214850,46743
9214862,46709
9215543,74717
9215737,75933
9215749,75933
9215921,75220
9215933,75311
9216212,74086
9216224,74470
9216236,74082
9216248,74401
9216391,73931
9216406,73926
9216456,73193
9216468,73193
9216494,50354
9216509,50259
9216640,75563
9216676,51008
9216688,51008
9216690,51029
9216808,52434
9216810,52413
9216822,52434
9216963,52403
9216975,52394
9217216,74350
9217228,74306
9217644,75115
9217656,75120
9217668,88315
9217670,88222
9217682,45499
9217735,50244
9217759,172572
9217761,172492
9217917,50362
9217929,50220
9218117,170761
9218260,73060
9218272,73105
9218284,73311
9218296,73326
9218337,45526
9218387,73281
9218399,73389
9218428,75961
9218521,73414
9218777,173044
9218789,74540
9218791,74540
9218832,172559
9218844,75214
9218856,75214
9218868,172571
9219018,170094
9219020,170089
9219032,74297
9219044,74350
9219422,75413
9219434,75410
9219446,46644
9219458,46644
9220201,175775
9220213,175775
9220225,175775
9220237,175775
9220471,46509
9220483,46509
9220706,48377
9220718,48377
9220990,170387
9221009,170434
9221114,52055
9221126,52055
9221190,76099
9221217,171509
9221229,171870
9221334,76397
9221437,73910
9221592,74133
9221607,74133
9221619,74133
9221621,74133
9221762,75688
9221798,74381
9221853,74374
9221865,74492
9221877,74362
9221889,74374
9221906,174285
9222211,51536
9222223,51514
9222338,53733
9222340,53806
9222479,52301
9222481,52342
9222493,52117
9222508,45608
9222510,52407
9222572,44314
9222601,52261
9222613,52183
9222625,52224
9222730,170085
9222742,170085
9223174,50169
9223186,50175
9223198,73081
9223320,76318
9223485,72270
9223497,75941
9223552,50296
9223564,50346
9223590,172502
9223980,52292
9223992,52380
9224025,76015
9224037,76015
9224477,74756
9224659,50296
9224661,50296
9224673,48377
9224685,75259
9224697,75250
9224702,75202
9224714,75253
9224738,172316
9224740,172424
9224776,173044
9224788,74141
9224790,74141
9224879,171381
9224984,75121
9224996,75151
9225017,170726
9225029,75247
9225031,75319
9225043,75336
9225055,75211
9225067,76099
9225196,74716
9225201,74716
9225380,73169
9225524,48893
9225809,164218
9226035,48000
9226047,45000
9226059,45851
9226061,48000
9226530,170415
9226619,172549
9226633,176347
9226671,48907
9226748,51557
9226750,51535
9226944,72162
9226956,72162
9226982,75955
9226994,75940
9227003,169631
9227194,74077
9227376,170188
9227388,170109
9227467,50341
9227522,171199
9227637,48437
9227649,75121
9227675,74107
9227687,73996
9227704,73652
9227792,50296
9227807,50236
9227819,50296
9227821,50296
9227833,46492
9227998,51029
9228021,50992
9228033,50961
9228045,72562
9228057,72562
9228069,74204
9228071,45601
9228083,50956
9228095,50992
9228100,50992
9228112,50992
9228124,45635
9228136,50601
9228148,50601
9228150,50913
9228174,170726
9228239,171199
9228411,48983
9228459,50077
9228734,47950
9228992,52193
9229001,45514
9229415,88291
9229623,74133
9229635,74133
9229673,52015
9229685,52015
9229697,50832
9230127,50170
9230141,73180
9230153,73870
9230191,52827
9230751,52428
9230763,52428
9231004,75592
9231030,74381
9231274,76623
9231286,76623
9231298,76623
9231303,76623
9231315,76662
9231327,76662
9231377,74269
9231389,74295
9231561,52822
9231573,52817
9231585,49923
9231987,50457
9231999,50457
9232058,170578
9232060,169770
9232151,53806
9232163,53806
9232175,53806
9232187,53806
9232371,76296
9232802,47818
9232814,47792
9233179,74875
9233260,74910
9233284,76529
9233301,76421
9233325,171191
9233337,171012
9233351,74272
9233387,53553
9233399,53531
9233404,49463
9233416,48184
9233428,51008
9233430,45635
9233442,51104
9233454,46882
9233466,46901
9233478,91439
9233480,46513
9233492,74247
9233507,74242
9233519,77509
9233521,74255
9233533,77514
9233545,105708
9233557,105752
9233569,105716
9233583,75921
9233595,75928
9233600,50236
9233703,169163
9233882,52817
9233923,171199
9233985,47314
9234214,48913
9234226,48913
9235141,47852
9235191,77830
9235232,74764
9235854,52510
9235878,73435
9236092,50326
9236171,74823
9236195,74786
9236896,52523
9237101,50271
9237113,50316
9237125,50296
9237137,50316
9237187,53343
9237199,53350
9237204,50212
9237216,50209
9237230,233584
9237266,178819
9237888,46683
9237943,47301
9238210,52544
9238222,46769
9238234,52551
9238296,75894
9238466,52383
9238478,52455
9238507,76679
9238545,46708
9238571,172589
9238583,54053
9238595,54086
9239991,73461
9240079,50777
9240794,50363
9240809,52466
9240811,52514
9241255,48911
9241346,50209
9241358,50244
9241504,50206
9241657,185820
9241669,185909
9241671,50244
9242508,52479
9242687,62806
9242699,62806
9243459,52489
9243502,76662
9243526,52512
9243564,50326
9244221,74195
9244233,74193
9244245,51024
9244269,48193
9244271,52961
9244283,53023
9244295,53054
9244362,74090
9244611,52587
9244685,49997
9244697,49917
9244702,49957
9244788,75966
9244817,75926
9244829,76015
9244831,76015
9244843,52404
9244855,52421
9244893,52416
9244908,52475
9245196,52382
9245237,52378
9245249,52196
9246619,53094
9246891,48910
9247285,73305
9248459,177493
9248526,172579
9248899,74716
9248904,74716
9249257,53035
9249269,51097
9249271,53098
9249283,53098
9249295,50470
9249300,53098
9249908,52508
9249910,46762
9250139,52202
9250141,52191
9250177,74764
9250189,74759
9250218,76634
9250244,91765
9250309,75845
9250579,48635
9250581,48610
9250610,184877
9251030,52478
9251315,52300
9251327,52089
9252199,75846
9252412,76015
9252424,76015
9252498,176423
9253090,172565
9253181,77229
9253193,77195
9253492,52395
9253806,74222
9253832,76858
9253844,47299
9253856,54683
9253868,54683
9253870,54683
9253882,48183
9253985,78236
9254111,74269
9254458,52433
9254460,52464
9254472,52376
9254484,52364
9254496,52454
9254501,52433
9254513,52454
9254525,75318
9254537,75318
9254549,53146
9254551,53125
9254563,76598
9254575,76598
9254628,46673
9254630,52579
9254642,44837
9254654,44837
9254666,176391
9254678,203508
9254680,176298
9254692,176343
9254707,75746
9254719,75735
9254721,55222
9254733,55180
9254769,172694
9254836,50339
9254989,50341
9255000,175526
9255012,174732
9255024,174766
9255593,75162
9256872,76015
9256884,76015
9257060,51201
9257072,51215
9257084,51201
9257096,51196
9257412,91439
9257797,76634
9258105,177643
9258117,177638
9258337,47305
9258349,47304
9258545,76945
9258557,46493
9259159,91860
9259161,91879
9259848,49502
9260122,74816
9260615,75834
9260627,75707
9260639,170578
9260641,170578
9261360,74832
9261774,50457
9261786,50338
9261798,75007
9261932,88233
9261970,50344
9262637,52092
9262730,184872
9262936,74181
9263069,46858
9263071,46834
9263112,52454
9263124,52491
9263239,46232
9263241,46232
9263253,48104
9263265,52982
9263277,53026
9263356,175531
9264037,47777
9264128,50619
9264130,51235
9264788,171448
9264790,171128
9265512,56060
9265524,56025
9266097,53553
9266176,50307
9266188,50246
9266190,50209
9266205,50238
9266449,52425
9266944,171314
9266956,171314
9267211,74193
9267405,53553
9267417,53505
9267429,53609
9267431,53514
9267601,76610
9267613,76629
9267625,91438
9267900,50337
9268473,170081
9268485,170050
9268796,175882
9268801,175882
9268813,175980
9268825,175980
9268954,81800
9268978,50354
9268980,75576
9268992,75707
9269001,75785
9269063,171075
9269233,74414
9270567,233694
9271339,177253
9271389,177359
9271391,177173
9271559,203277
9271561,203095
9271597,203248
9271602,203315
9271614,176193
9271626,176346
9271638,176269
9272345,173880
9272383,174083
9272448,55567
9272527,88233
9272785,52428
9272864,97045
9272876,46710
9272905,88233
9272917,76602
9272943,76602
9272955,76629
9272967,76602
9272979,49892
9273210,73613
9273375,171314
9273612,73601
9273818,76616
9273985,203163
9274458,52483
9274460,52502
9274575,55362
9274587,55389
9274903,180181
9274915,52249
9274927,52249
9274939,52249
9274941,52466
9275141,73975
9275311,48821
9275323,48821
9275488,49939
9275957,171061
9276169,76878
9276171,76878
9276482,76845
